책 이름,작가,장르,ISBN,책 소개,추천단어
삼체 1: 삼체문제,류츠신,"국내도서
 > 
소설
 > 
중국소설
 > 
SF/과학소설",9790000000000.0,"“보아라, 이것이 인류의 석양이다.”오바마 전 대통령이 선택하고,노벨문학상 수상자 모옌이 극찬한 최고의 작품!
◆ 2024년 3월 21일, 넷플릭스 8부작 방영!◆ 〈왕좌의 게임〉 제작진이 만든 새로운 대작세 개 태양이 불타는 켄타우루스 알파성 삼중성계삼체 문명의 항성급 함대가 지구를 향해 출발한다“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”SF의 신화가 된 류츠신『삼체』 정수를 선보일 것이다.","함대,넷플릭스,문명,삼체,보아,벌레,방영,부작,태양,극찬,대통령,승리,인류,류츠신,신화,전쟁,작품,선택,대작,알파,왕좌,항성,게임,최고,노벨문학상,모옌,오바마,지구,수상자,정수,출발,켄타우루스,삼중성계,석양"
인생(위화 작가 등단 40주년 기념 리커버 특별판),위화,"국내도서
 > 
소설
 > 
중국소설
 > 
중국소설일반",9790000000000.0,"전 세계인의 마음을 울린 위대한 작가 위화등단 40주년 기념 《인생》 《허삼관 매혈기》 개정판 출간!현대 고전의 반열에 오른‘삶’이 계속되는 한 영원히 유효한 이야기
전 세계적으로 중국 현대문학을 대표하는 작가 위화의 등단 40주년을 맞아 대표작 《인생》, 《허삼관 매혈기》 개정판이 도서출판 푸른숲에서 출간되었다. 2007년 3판 출간 이후 무려 16년 만의 개정이다. 1996년 국내 첫 출간 이후 지난 30여 년간 여러 세대를 통과하면서도 줄곧 큰 사랑을 받아온 두 작품을 새 모습으로 만나볼 수 있게 되었다. 내부적으로는 번역가 최용만과 백원담이 완성도에 심혈을 기울여 문장을 다시 세밀히 손보았으며, 외부적으로는 전통적 디자인에서 탈피해 모던한 디자인으로서 고전의 면모를 강조하였다. 위화는 노벨문학상을 수상한 모옌, 루쉰문학상을 수상한 옌렌커와 함께 중국 현대문학을 대표하는 거장이다. 《인생》과 《허삼관 매혈기》는 굴곡진 역경 속에서 더욱 빛을 발하는 휴머니즘을 감동적으로 담아내온 위화의 필치가 가장 잘 담겨 있는 대표작이다. 2000년대 국내에서 가히 ‘위화 열풍’을 일으켰을 뿐만 아니라 45개국 이상에 번역되어 전 세계인의 마음을 울렸다. 삶이 계속되는 한 영원히 유효한 이야기의 품격을 이제 두 눈으로 확인할 차례다.","고전,출판,심혈,오른,외부,개정판,번역가,디자인,위화,개국,줄곧,개정,무려,주년,수상한,혈기,굴곡,거장,번역,문장,강조,등단,열풍,사랑,차례,현대문학,지난,마음,면모,작가,치가,역경,품격,확인,원담,인생,기념,전통,노벨문학상,모옌,나볼,세대,모습,세계,대표,옌렌커,세밀,도서,현대,통과"
삼체 3: 사신의 영생,류츠신,"국내도서
 > 
소설
 > 
중국소설
 > 
SF/과학소설",9790000000000.0,"“보아라, 이것이 인류의 석양이다.”오바마 전 대통령이 선택하고,노벨문학상 수상자 모옌이 극찬한 최고의 작품!
◆ 2024년 3월 21일, 넷플릭스 8부작 방영!◆ 〈왕좌의 게임〉 제작진이 만든 새로운 대작세 개 태양이 불타는 켄타우루스 알파성 삼중성계삼체 문명의 항성급 함대가 지구를 향해 출발한다“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”SF의 신화가 된 류츠신『삼체』","함대,넷플릭스,문명,삼체,보아,벌레,방영,부작,승리,극찬,대통령,태양,인류,류츠신,신화,선택,작품,전쟁,대작,알파,왕좌,항성,게임,최고,노벨문학상,모옌,오바마,지구,수상자,출발,켄타우루스,삼중성계,석양"
삼체 2: 암흑의 숲,류츠신,"국내도서
 > 
소설
 > 
중국소설
 > 
SF/과학소설",9790000000000.0,"“보아라, 이것이 인류의 석양이다.”오바마 전 대통령이 선택하고,노벨문학상 수상자 모옌이 극찬한 최고의 작품!
◆ 2024년 3월 21일, 넷플릭스 8부작 방영!◆ 〈왕좌의 게임〉 제작진이 만든 새로운 대작세 개 태양이 불타는 켄타우루스 알파성 삼중성계삼체 문명의 항성급 함대가 지구를 향해 출발한다“인류가 이 전쟁에서 승리하는 것은 불가능하다. 너희는 벌레다!”SF의 신화가 된 류츠신『삼체』","함대,넷플릭스,문명,삼체,보아,벌레,방영,부작,승리,극찬,대통령,태양,인류,류츠신,신화,선택,작품,전쟁,대작,알파,왕좌,항성,게임,최고,노벨문학상,모옌,오바마,지구,수상자,출발,켄타우루스,삼중성계,석양"
귀신들의 땅,천쓰홍,"국내도서
 > 
소설
 > 
중국소설
 > 
중국소설일반",9790000000000.0,"2020년 타이완 양대 문학상인금장상金鼎賞 문학도서부문상, 금전상金典賞 연도백만대상 수상작!타이완 문단을 대표하는 젊은 거장 천쓰홍의 걸작!
빼어난 이야기 구조가 귀기 어린 세계와 만나 기묘한 충돌을 일으키는데, 이는 오직 소설만이 전할 수 있는 방식이자, 이 소설이 가진 뛰어난 미덕이다. _황인찬(시인)국내에 처음으로 소개되는 타이완의 젊은 거장 천쓰홍의 장편 소설 『귀신들의 땅』이 민음사에서 출간되었다. 한 일가족을 중심으로 타이완의 아픈 현대사를 담아낸 걸작 『귀신들의 땅』은 타이완에서 가장 큰 양대 문학상인 ‘금장상 문학도서부문상’과 ‘금전상 연도백만대상’을 수상했으며, 12개 언어로 출간되어 《뉴욕타임스》 베스트셀러에 오르기도 했다.","중심,뉴욕타임스,국내,소설,문학상,홍의,처음,기도,대상,거장,문단,장편,방식,걸작,연도,부문,베스트셀러,대사,타이완,수상작,언어,시인,소개,귀신,학도,장상,황인찬,충돌,이야기,미덕,민음사,이자,대표,세계,가족,금전,구조"
13.67,찬호께이,"국내도서
 > 
소설
 > 
중국소설
 > 
미스터리/스릴러소설",9790000000000.0,"중국어권 최고의 추리소설 작가찬호께이의 대표작 『13·67』10쇄 기념 전면 개정판 출간!
2015년 추리소설의 불모지로 여겨졌던 중국, 그것도 홍콩에서 날아와 한국 독자들을 놀라게 한 걸작 추리소설이자 찬호께이의 대표작. 찬호께이는 홍콩 작가로서 『기억하지 않음, 형사』(한스미디어 출간)로 ‘제2회 시마다 소지 상’을 수상한 데 이어, 2014년에는 ‘2015 타이베이 국제 도서전’에서 대상을 수상한 『13·67』을 내놓아 결정적으로 국적을 넘어 세계에 이름을 떨치는 작가로 자리잡았다.『13·67』은 홍콩을 배경으로 1967년도부터 2013년까지의 여섯 개 사건을 역순으로 펼쳐놓는 장편소설이다. 2020년대에 읽어도 참신한 순서의 구성에 더해 혼수상태에서조차 명추리를 자랑하는 경찰 고문 관전둬가 독자의 마음을 강렬하게 사로잡는다. 또한 어떤 혼란한 시대라 할지라도 시민을 최우선으로 보호해야 마땅한 경찰의 의무에 대해 깊이 파고듦으로써 독자들에게도 시대를 초월한 울림을 남긴다.『13·67』은 본격추리 소설과 사회파 추리소설을 절묘하게 결합한 끝에 이제는 추리소설 장르의 필독서, 고전으로 평가받는 작품이다. 2015년 국내 첫 출간 당시 독자들의 입소문을 등에 업고 베스트셀러에 올랐으며, 2023년 10쇄를 기념해 작품상 몇몇 오류를 수정하고 본문 전체를 한층 다듬어 개정판이 출간되었다.[줄거리]정교한 추리와 홍콩 사회에 대한 치밀한 관찰그리고 한 인간의 삶을 지배하는 거대한 아이러니!뛰어난 추리 능력을 갖춘 홍콩 경찰총부의 전설적 인물 관전둬, 그는 오랜 파트너인 뤄샤오밍과 함께 복잡하고 의문점이 많은 사건을 해결해왔다. 첫 단편 「흑과 백 사이의 진실」은 관전둬가 경찰총부에서 퇴직한 뒤 오랜 시간이 흘러 말기 암 환자로 혼수상태에 빠진 시점에서 시작한다. 뤄샤오밍은 특수한 기계장치를 통해 관전둬와 대화를 나누면서 조금씩 사건의 진상을 찾아간다.책 제목인 ‘13.67’은 2013년과 1967년을 가리키는데, 1967년부터 2013년까지 벌어진 여섯 건의 범죄사건이 각 단편의 주된 이야기다. 특이하게도 가장 최근인 2013년의 사건에서 시작해 1967년의 사건까지 시간 역순으로 전개된다.여섯 건의 사건과 한 인물의 죽음을 통해 작가가 진정으로 말하고자 하는 것은 무엇인가? 그것은 홍콩이라는 특수한 ‘공간’이 지닌 슬픔이다. 1967년에서 2013년까지 정치·사회적으로 격변을 겪어온 홍콩과 그 속에서 경찰로 살아가는 주인공의 모습은 이 작품을 무척 흥미롭게 만든다.","전개,국내,전체,울림,개정판,중국,시마,역순,그것,배경,퇴직,추리소설,중국어권,대상,평가,본문,인간,혼수상태,진정,시점,홍콩,베스트셀러,불모,대한,초월,작가,깊이,관전,최근,범죄,구성,장르,고문,필독,로서,주인공,수정,결합,자랑,도서전,결정,시민,관찰,대표,세계,전설,경찰,의무,사회,의문"
삼국지 원전 세트,나관중,"국내도서
 > 
소설
 > 
중국소설
 > 
고전소설/문학선",9790000000000.0,"천하를 얻기 위해 위·촉·오 삼국의 영웅들이 움직인다!시대를 넘어 전해지는 영웅들의 힘과 지혜가 담긴 명작 〈삼국지〉를 요시카와 에이지판 원전 최신 완역판으로 만나보자.
세 번 이상 읽지 않으면 인생을 논하지 말라는 바로 그 책, 아시아에서 가장 유명하고 누구나 다 아는 나관중의 《삼국지통속연의》가 일본 대중문학의 최고봉이라 평가받는 요시카와 에이지를 만나 코너스톤에서 삼국지 원전 완역판 세트(전10권)》로 출간되었다.〈삼국지〉는 중국의 후한 말부터 100여 년간 이어진 영웅호걸들의 흥망치란을 한데 담아낸 역사 소설로, 오늘날까지 많은 사랑을 받는 고전 작품 중 하나다. 그중 요시카와 에이지판은 나관중 원작의 고전에 가장 충실하면서도 생동감 넘치는 인물 묘사와 역사적 사실에 대한 재해석으로 역사소설로도, 작가만의 특색을 고스란히 담아낸 번역으로도 높은 평가를 받고 있는 작품이다. 코너스톤에서 만나는 〈삼국지〉는 역사소설계에서 내로라하는 아시아의 두 거장, 나관중과 요시카와 에이지가 만나 완성된 명작을 세세한 상황과 인물의 심리 묘사를 통해 마치 새로운 작품을 읽는 듯한 느낌을 받을 수 있다. 긴장감 넘치도록 생생히 그려지는 장면을 따라가며 자연스레 인간의 흥망성쇠를 엿볼 수 있는 요시카와 에이지판의 〈삼국지〉 최신 원전 완역판을 지금 바로 만나보자!","고전,로라,소설,스톤,지혜,중국,최신,최고봉,해석,영웅,원작,역사,평가,특색,거장,번역,인간,망치,사랑,대한,인물,묘사,작가,천하,장면,긴장감,작품,흥망,나관중,통속,명작,완성,인생,세트,이어진,원전,성쇠,대중문학,느낌,오늘날,생동감,아시아,요시카,일본,역사소설,코너,영웅호걸,상황,시대"
바츠먼의 변호인,탕푸루이,"국내도서
 > 
소설
 > 
중국소설
 > 
중국소설일반",9790000000000.0,"타이완 넷플릭스 「바츠번의 변호인」 원작!권위 있는 문학상 4관왕 석권
‘핑춘16호’ 아미족 선장 일가 살해 사건모든 혐의는 인도네시아인 어부 1명을 가리킨다혐의는 확실하지만 의혹은 짙다매력적인 캐릭터, 정교한 플롯,흡인력 있는 스토리 속에원주민 차별, 이주노동자, 사형제도 폐지 등타이완 사회를 입체적으로 담아낸 소설!1982년 어느 날 열 살 난 남자아이 퉁바오쥐의 세상이 무너졌다. 그날 밤 아버지가 경찰에 체포되었다. 선장인 아버지는 조업 중에 사망한 선원을 애도하는 모임에서 술을 마신 뒤, 갑자기 선박회사로 달려가 회계부장과 다른 직원 한 명을 칼로 찔렀다. 다행히 두 사람 다 목숨을 건져 살인미수로 10년형을 받았다. 그들이 죽었더라면 아마 사형을 언도받았을 것이다. 아버지가 감옥에 가 있는 동안 어머니는 생계를 유지하기 위해 게와 새우를 가공하는 공장에 나가 일해야 했다. 몸이 약했던 어머니는 퉁바오쥐가 고등학교를 졸업하던 해에 세상을 떠났다. 퉁바오쥐는 어려운 집안 형편에도 이를 악물고 공부했고, 타이완 최고의 명문대 법학과에 입학했다. 퉁바오쥐는 대학에 입학하면서 고향인 바츠먼八尺門을 떠난 후에는 거의 돌아가지 않았다. 아버지가 감옥에서 나온 뒤에도 마찬가지였다. 퉁바오쥐에게 바츠먼은 좋은 기억이라고는 없는 곳이었기에 조금도 그립지 않았다.30여 년이 흘러 타이베이고등법원에서 국선변호인으로 일하는 지금까지도 퉁바오쥐는 무책임하게 범죄를 저질러 가정을 파탄으로 몰고 간 아버지와 그런 아버지가 살고 있는 고향 바츠먼에서 최대한 거리를 두며 살고 있었다. 그러던 중 바츠먼에서 인도네시아인 선원이 타이완인 선장 일가족을 살해한 사건이 벌어졌다. 이주노동자가 대낮에 칼을 들고 가정집에 뛰어들어서는 선장과 아내뿐 아니라 갓 두 살이 된 어린 딸까지 잔인하게 찔러 죽인 사건이라 타이완 사회가 발칵 뒤집혔다. 온몸에 피를 뒤집어쓰고 칼을 들고서 거리를 배회하다 경찰에 체포된 ‘압둘아들’은 경찰 조사 및 재판 과정 내내 죄를 뉘우치기는커녕 수사에 비협조적으로 굴어서 더욱 공분을 샀으며, 결국 1심 재판에서 사형이 구형되었다. 대만 법률에서는 1심에서 사형이 구형되면 피고가 원하지 않아도 자동적으로 항소가 진행되어 고등법원에서 한 번 더 재판받도록 규정하고 있다.사건이 타이베이고등법원으로 송치되었지만 압둘아들은 범죄 사실을 인정하지 않으면서도 변호사를 구해 적극적으로 무죄를 증명할 생각도 없는 듯했다. 결국 법원에서 그에게 국선변호인 퉁바오쥐를 배정했다. 퉁바오쥐는 담담하게 변호를 준비했지만 그의 마음은 복잡하기 짝이 없었다. 우선 퉁바오쥐는 압둘아들이 죽인 타이완인 선장과 아는 사이였다. 그의 고향인 바츠먼에서 어업에 종사하는 사람은 대부분 퉁바오쥐의 먼 친척이라고 해도 과언이 아니었다. 퉁바오쥐는 타이완 인구의 대부분을 차지하는 한족이 아니라 타이완 섬 원주민인 아미족이고, 바츠먼은 아미족이 1970년대에 타이완 남부 지역의 항구도시인 지룽基隆으로 이주하면서 형성된 마을이었다. 당시 어업과 무역업 등으로 지룽시가 급속히 발전하면서 인력난이 발생했고, 산간 지대에 모여 살던 아미족을 저렴한 노동력으로 활용하기 위해 도시 이주를 장려하는 정책이 시행되었다. 퉁바오쥐의 아버지도 그때 가까운 부족 사람들과 같이 지룽으로 와서 원양어선 선원으로 일하다 경력을 쌓아 선장까지 지냈던 것이다. 또한 과거 아버지가 선박회사 사람을 상해한 사건 역시 지금의 압둘아들 사건과 유사한 대목이 많았다. 당시 아버지는 회사가 보험을 들어두지 않은 탓에 사망한 선원(심지어 아버지의 사촌동생이었다)의 유가족이 아무런 보상도 받지 못하게 된 울분 때문에 그런 짓을 저질렀다. 압둘아들 역시 범행 동기를 제대로 설명한 적이 없지만 이주노동자로서 원양어선에서 일하며 겪는 부당한 대우를 참지 못해 선장 일가족을 살해한 것으로 짐작되었다. 말하자면 1970~80년대에 아미족이 타이완 사회의 주변인으로서 다른 이들이 기피하는 위험하고 힘든 업종에 종사했듯 지금은 인도네시아 등 동남아 각국에서 건너온 이주노동자들이 그 역할을 감당하고 있는 것이다.퉁바오쥐는 압둘아들의 사건을 변호하면서 사건 내용에서 석연치 않은 점을 발견하고 진범이 따로 있을 가능성에 주목했다. 한편 이 인도네시아인 이주노동자의 사정을 알면 알수록 오랫동안 반목했던 아버지를 다른 시선에서 바라보고 이해하는 계기도 생겼다. 무엇보다 퉁바오쥐는 이 사건의 진상을 밝히고 진짜 살인범이 법적 처벌을 받는 ‘정의’가 이뤄지기를 바랐다. 하지만 원양어업의 이해득실, 대만의 동남아 여러 국가와의 외교 관계, 사형제도 폐지를 주장하는 시민단체와 총통 선거를 앞둔 타이완 정계 등 복잡다단한 주변 상황 때문에 사람들은 압둘아들 사건의 ‘진실’에는 관심도 없어 보인다. 이런 상황에서 국선변호인 퉁바오쥐는 정의와 진실을 위해 힘든 싸움을 벌이는데……. 그는 사형 집행이 이뤄지기 전에 진실을 밝힐 수 있을까?이처럼 소설은 다민족 국가의 내부적인 민족 갈등, 이주노동자 문제 등 우리가 잘 알지 못했던 타이완 사회의 내밀한 모습을 생생하고 입체적으로 그려내고 있다. 이 소설의 주인공인 퉁바오쥐는 타이완에서 가장 수가 많은 원주민 부족인 아미족이다. 아미족은 약 20만 명인데, 이들은 중국어와는 전혀 다른 언어를 사용하며 모계사회라 자식은 어머니의 이름을 물려받아 성姓으로 삼는다. 타이완 섬을 지배하던 일본이 제2차 세계대전 패배로 물러간 후 새로 들어선 한족 중심의 타이완 정부에서는 아미족에게 한자로 된 이름을 새로 지어 주민등록을 하게 했다. 지금은 한족이 주도하는 대만 사회에 동화되어 큰 차이 없이 살고 있는데도 여전히 자신들의 언어와 중국어를 혼용하고, 한자 이름과 아미족 언어로 된 이름 두 가지를 사용한다.주인공 퉁바오쥐는 예전의 차별받던 아미족 출신으로 지금의 사회적 약자인 인도네시아 이주노동자의 국선 변호를 맡아 살인 사건의 진실을 밝히기 위해 고군분투한다. 여기에 사형제도를 폐지하기 위해 애쓰는 정치인과 시민단체 등 다양한 이해관계가 얽히면서 사건은 점점 복잡해진다. 인도네시아인 선원이 정말로 살인을 했는지를 밝히는 과정이 이 소설의 메인 스토리지만 그 밖에 사회의 여러 단면을 생생하게 보여주는 여러 서브 스토리가 정교하게 맞물려 강한 흡인력을 발휘한다.40대 후반의 국선변호인이자 아버지를 미워하는 아들인 퉁바오쥐의 현실적이고 다층적인 캐릭터 또한 이 소설의 매력을 더해주는 요소다. 퉁바오쥐 외에도 아버지 퉁서우중과 여러 아미족 사람, 군 복무 대체 인턴으로 법원에서 일하며 퉁바오쥐의 조수 역할을 해주는 엘리트 법대생, 의뢰인과 같은 인도네시아인이라는 이유로 얼떨결에 퉁바오쥐의 법정 싸움을 돕게 된 이웃집 간병인 등 조연 캐릭터의 사연도 흥미로우며, 이들의 서브 스토리가 메인 스토리에 맞춘 듯이 엮이는 대목을 읽는 쾌감도 상당하다.『바츠먼의 변호인』은 타이완에서 웹소설 플랫폼과 문학 출판사를 동시에 운영하여 소설과 영상 작품의 미디어 믹스를 적극적으로 추진하는 경문학에서 주최한 영화소설상에서 대상을 수상했으며, 타이완 출판계에서 가장 권위 있는 상 Top3로 꼽히는 금정상金鼎?, 금전상金典奬까지 수상하면서 크게 주목받았다. 이듬해엔 타이베이 국제도서전 대상 소설 부문에서도 1등상을 수상했고 저자가 직접 시나리오를 쓴 뒤 메가폰을 쥐고 8부작 드라마로 만들어 넷플릭스 타이완에 방영되었다. 한국으로 수입되지 못해 많은 아쉬움을 남긴 이 드라마 또한 수작으로 평가 받았다.
☞ 수상내역2022년 타이완문학상 페이레이상2022년 금정상 문학부문 수상제2회 경문학 소설대상 수상 2023년 타이베이 국제도서전 소설 1등상","변호사,동기,단면,차이,때문,회사,업종,각국,문학,입체,쾌감,회계,발전,방영,울분,주목,유가족,대목,한족,일가,고등학교,페이레이,정계,국선변호인,활용,범죄,그날,경력,선장,혼용,조연,감당,주인공,형편,내용,압둘,듯이,추진,총통,수가,주민등록,발칵,운영,관왕,엮이,바오,무죄,조사,짐작,고향"
할머니들의 비키니 여행,펑수화,"국내도서
 > 
청소년
 > 
청소년 소설
 > 
중국",9790000000000.0,"할머니 넷과 여자아이 하나가 사라졌다!
아주 할머니의 가슴에 ‘몹쓸 것’이 생겼다는 사실을 알게 된 뒤, 할머니들은 생애 첫 여름 방학을 준비한다. 그렇게 남편 몰래, 아들 몰래, 며느리 몰래 떠난 할머니들의 우정 여행! 오십 년 전 첫사랑과의 재회부터 생애 첫 비키니까지, 살날보다 살아온 날이 더 많은 할머니들과 열 살 반 초등학생의 유쾌 발랄한 여름 방학이 시작된다.*『할머니들의 비키니 여행』은 스토리에코 시리즈의 첫 권입니다. 스토리에코는 진폭을 넘나드는 에코처럼, ‘모두의 가슴에 투명한 울림을 전하는 이야기’라는 뜻의 문학 시리즈입니다.","첫사랑,재회,가슴,울림,유쾌,며느리,방학,문학,살날,준비,몹쓸,비키니,할머니,진폭,우정,초등학생,스토리,시작,이야기,시리즈,아들,생애,여행,몰래,아주,여자아이,전하,에코,남편,여름,오십"
이문열 삼국지 세트,이문열 (평역),"국내도서
 > 
소설
 > 
중국소설
 > 
고전소설/문학선",9790000000000.0,"이문열 평역 삼국지 30년 만의 개정 신판 출간! 독보적인 문장으로 읽는 우리 시대의 삼국지 누적판매 2,000만 부우리 시대를 대표하는 『이문열 삼국지』가 현대적인 감각으로 다시 돌아왔다!
젊은 세대를 위해 내용을 손보고, 한자어 독음을 달아 읽기 쉬운 『삼국지』1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운『이문열 삼국지』가 출간 30여 년 만에 새롭게 출간된다. 나관중 판본을 기본으로 하여 우리 시대 대표 작가인 이문열의 글맛으로 살려낸 『이문열 삼국지』는 오랫동안 최고의 고전으로 사랑받아왔다. 무수한 평역본 중 특히 이 책이 한 세대를 넘어서까지 생명력을 가질 수 있었던 것은, 이문열 작가 특유의 날카로운 문장과 흡입력 있는 구성이 돋보였기 때문이다. 방대한 서사와 영웅호걸들의 이야기들을 지루하지 않게, 다음 권을 넘겨보게 만들어 삼국지를 처음 접한 이들도 충분히 재미있게 읽을 수 있었던 것. 더불어 다른 판본에서는 삭제되거나 경시된 ‘시’, ‘평’ ‘표’ 등 중국 문학의 특징을 고스란히 살려낸 서사와 문학적 힘이 발휘된 덕분이기도 하다. 이번 개정 신판에서는 이런 장점은 유지하면서, 지난 30년간 독자들에게서 받은 질문과 평역자 자신이 계속하여 고민하였던 내용들을 새롭게 손보고, 요즘 세대도 쉽게 읽을 수 있도록 한자어의 독음과 주석을 달았으며, 의미가 명확한 한자어는 병기하지 않음으로써 좀 더 읽기 쉽도록 고쳤다. 작가는 수개월에 걸쳐 한 글자 한 글자를 곱씹으며 문장을 다시 만졌다. 여기에 타이완의 유명 화가인 정문(鄭文) 작가의 그림을 함께 수록하여 보는 즐거움을 배가했다. 독특한 화풍으로 삼국지의 각 인물과 주요 사건을 그려낸 정문의 그림은 삼국지 특유의 서사를 더욱 돋보이도록 만들어준다. 『이문열 삼국지』는 정통 역사서인 진수의 『삼국지』에서 시작되어 여러 시대를 겪어내며 구전설화, 시서 등 당대를 살아간 이들의 입과 귀를 통해 전해지고, 창작된 내용이 덧붙여진 나관중의『삼국지연의』를 평역한 것이다. 나관중은 화본이나 잡극의 희곡으로 전해지던 삼국고사를 살리면서 『삼국지』와 배송지가 달았다는 주(注), 『후한서』, 『진서』등의 정사와 다른 여러 사서를 참고하였다고 한다. 여기에 민간에서 전해 내려온 이야기를 사서에 의거하여 현저하게 다른 곳은 바로잡고, 지나치게 신격화된 부분들을 신중하게 삭제하고, 민초들의 바람이나 희망을 충족시켜주었던 영웅들의 활약상 등을 흡수하여 발전시킨 것이다.『이문열 삼국지』 역시 정사와 현저하게 다른 곳들은 꼼꼼하게 살펴서 비교하고,  시대적 상황에 맞춰 해석해냈다. 때문에 어떤 의미에서 이 책은 단순히 번역하고 평한 것이 아닌 가려 뽑고, 주해한 ‘평역評繹’이라고 할 수 있을 것이다. 즉 고전을 오늘을 사는 우리가 세상을 살아가는 데 대입하여 읽을 수 있도록 골라 엮었다는 것이다. 고전의 생명력은 그 내용이나 문장에만 머물지 않는다. 변화무쌍한 세상에서 우리에게 지혜가 되고 가늠자가 되어주기에 시대를 넘어서면서도 그 가치가 빛난다. 난세를 살아낸 숱한 영웅들의 삶 속에서 인간에 대한 깊은 이해와 시대의식을 전해주는 『이문열 삼국지』는 오래도록 두고 읽어야 할 명문임에 틀림없다.","해석,세상,진수,정통,요즘,참고,유지,개정,화풍,당대,처음,의거,판본,창작,생명력,특유,고스,역자,경시,손보,희망,인물,가치,즐거움,대한,지난,주해,발휘,진서,배송지,전해,작가,질문,정문,무수,부라,민간,내용,수록,정사,현저,그림,삼국,판매,대표,사건,현대,상황,화가,특징"
아Q정전,루쉰,"국내도서
 > 
소설
 > 
중국소설
 > 
고전소설/문학선",9790000000000.0,"강렬한 판화와 함께 만나는 루쉰의 대표작!
중국 근대문학의 선구자로 꼽히는 루쉰의 대표작 『아Q정전』. 신해혁명 전후의 중국사회를 아Q라는 시골 날품팔이의 삶을 통해 묘사한 소설로, 당시의 기형적 중국사회와 왜곡된 중국인의 모습을 보여준다. 혁명의 소용돌이 속에서 희생되는 아Q의 허무한 인생을 현실적으로 그리고 있다. 착취와 소외에 억눌린 중국 민중과 그들의 비참하고 어리석은 인생을 통렬하게 묘파한다. 루쉰의 당대 현실인식과 중국 변혁에 대한 의지와 희망이 집약된 중국 근대문학의 이정표와 같은 소설이다. 이번 책에서는 『아Q정전』을 중국의 대표 판화가 자오옌녠의 사실주의적 판화와 이욱연 교수의 맛깔스러운 번역으로 만날 수 있다.
이 책은 중국 인민문학출판사가 자오옌녠의 판화를 실어 출간한 루쉰 작품집을 번역 저본으로 삼았다. 루쉰 작품을 깊이 있게 연구해온 자오옌녠은 판화라는 새로운 표현 형식을 통해 루쉰의 작품을 새롭게 해석하고 형상화했다. 중국 흑백판화 분야에서 선두 역할을 해온 그의 가장 유명한 작품이 바로 『아Q정전』이다. 근대 중국 민중의 슬픈 자화상이라 할 수 있는 아Q의 욕망과 좌절을 흑백판화에 사실적으로 담아냈다.","맛깔,소설,형상,해석,중국,출판사,분야,소외,통렬,당대,선두,문학,현실,날품팔이,자화상,루쉰,표현,판화가,판화,형식,자오옌녠,대한,작품집,실어,연구,당시,민중,깊이,신해혁명,작품,이욱,희망이,욕망,소용돌이,인생,정전,선구자,인식,왜곡,이정표,흑백,중국인,집약,교수,변혁,역할,혁명,대표,좌절,사회"
망내인,찬호께이,"국내도서
 > 
소설
 > 
중국소설
 > 
중국소설일반",9790000000000.0,"한 소녀가 투신자살했다.하지만 그 누구도 신경 쓰지 않는다.소녀의 언니와 수수께끼 같은 남자만 제외하고…….
〈13·67〉의 작가 찬호께이의 장편소설. 샤오원(小雯)이 죽었다. 22층에서 뛰어내려 온몸이 부서졌다. 경찰은 자살이라고 말하지만 샤오원의 언니 아이(阿怡)는 알고 있다. 동생은 ‘살해’된 것이다. 샤오원은 세상을 떠나기 전, 성추행 사건을 꾸며냈다며 인터넷에 신상이 공개되어 수많은 누리꾼의 조롱과 모욕의 대상이 되었다.억울하게 희생된 샤오원을 위해, 아이는 이 사건을 처음부터 끝까지 밝혀내겠다고 맹세한다. 그러나 진실이 한 겹 한 겹 베일을 벗을수록, 아이는 자신이 알던 동생의 모습이 점점 흐려지는 느낌을 받는다. 아이는 저도 모르는 사이 가족애와 거짓말의 미스터리 속으로 빠져들어 간다. 죄와 벌의 천칭도 차차 한쪽으로 기울어지고, 사건은 예측할 수 없는 결말로 치닫는데….","성추행,이의,한쪽,장편소설,세상,투신,소녀,자살,처음,진실,대상,맹세,공개,찬호,결말,천칭,차차,신상,거짓말,작가,미스터리,모욕,살해,제외,예측,조롱,희생,베일,사이,오원,동생,온몸,느낌,누리꾼,샤오원,인터넷,모습,남자,가족,사건,경찰,신경,수수께끼,점점,언니"
이문열 삼국지 2,나관중,"국내도서
 > 
소설
 > 
중국소설
 > 
고전소설/문학선",9790000000000.0,"이문열 평역 삼국지 30년 만의 개정 신판 출간! 독보적인 문장으로 읽는 우리 시대의 삼국지 누적판매 2,000만 부우리 시대를 대표하는 『이문열 삼국지』가 현대적인 감각으로 다시 돌아왔다!","감각,독보,문장,이문열,평역,대표,개정,판매,삼국지,신판,누적,현대,시대"
