책 이름,작가,장르,ISBN,책 소개,,
AI 변호사 with 챗GPT,김덕은,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79117E+12,"골치 아픈 계약서 검토, 고소장 작성, 내용증명… 단돈 20달러로 ‘변호사’를 고용한다!
이 책은 챗GPT로 전문화할 수 있는 영역 중에서도 ‘법률’ 영역을 다룹니다. 살다 보면 누구나 마주할 수 있는 계약서 검토, 내용증명이나 고소장, 탄원서와 같은 법률 문서 작성부터 판례 검색까지 현직 변호사와 챗GPT가 단돈 20달러로 여러분의 비용과 시간을 아껴드리겠습니다.‘챗GPT’가 처음이어도, ‘법’이 낯설어도 누구나 프로처럼프롬프트 가이드와 기초 법률을 한 권에생성 AI 세계에 첫 발을 디딘 누구나 단번에 챗GPT와 유창하게 대화할 수 있도록 프롬프트 가이드를 꼼꼼하게 준비했습니다. 프롬프트에 따라 달라지는 챗GPT의 응답을 보면서 어떻게 응용해야 할지 직관적으로 이해할 수 있도록 응답 결과를 하나하나 실었습니다. 중간 중간 등장하는 낯선 법률 용어도 프로 변호사가 하나하나 챙겨드립니다.",,
AI는 세상을 어떻게 바꾸는가,장동선,"국내도서
 > 
과학
 > 
교양과학
 > 
과학이야기",9.78893E+12,"4차 산업혁명과 인공지능 시대, 우리의 삶은 어떻게 변할까지식 라이브러리 〈굿모닝 굿나잇〉 ‘인공지능 편’
각 분야 최고의 학자와 연구자가 미래 세대를 위해 만든 〈굿모닝 굿나잇〉 시리즈 6번째 책, 《AI는 세상을 어떻게 바꾸는가》. 인공지능 기술의 역사와 발전, 기초 개념과 원리는 물론 사회 트렌드와 미래 예측까지 한 권에 담았다. 독일 막스플랑크 바이오사이버네틱스 연구소에서 박사학위를 받은 세계적 뇌과학자이자 과학 커뮤니케이터 장동선 박사의 스토리텔링을 통해 청소년부터 성인까지 읽을 수 있도록 재미와 지식 모두를 잡았다. 인간과 인공지능이 함께 살아가는 미래를 대비하는 필수 교양서. ㆍ 인공지능은 어떻게 태어나고 발전했을까?ㆍ 인공지능에는 어떤 핵심 기술이 필요할까?ㆍ SF 영화나 소설 속 상상들은 실제로 이루어질 수 있을까?ㆍ 생각하는 로봇을 인간과 같은 생명으로 봐야 할까?ㆍ 인공지능과 함께하는 미래는 유토피아일까?",,
넥스트 디지털,정해진,"국내도서
 > 
경제/경영
 > 
경제일반
 > 
디지털경제",9.7912E+12,"글로벌 리서치&자문 회사인 가트너가 선정한 한국 최초의 디지털 전환 글로벌 모범 사례 ‘AIDA’ 와 ‘HWADAP’ - 그 개발을 주도한 DT 담당 임원(CIO/CDO)이 알려주는 AI 시대 디지털 전환과 3가지 핵심 기술
저자는 한화그룹에서 약 30년 동안 IT, 스마트팩토리, AI, 클라우드, 블록체인 등의 사업을 추진하면서 디지털 전환의 모든 과정을 현장에서 생생하게 경험했다. 그리고 2023년에 (주)한화에 구축한 ‘데이터 분석 플랫폼(HWADAP)’과 ‘생성형 AI 기반 챗봇(AIDA)’은 글로벌 리서치&자문 회사인 가트너사에 의해 한국 최초로 디지털 전환의 글로벌 모범 사례로 선정되었다. 이러한 풍부한 현장경험과 개발 경험을 토대로 AI 시대의 디지털 전환과 3가지 중요한 기술, 즉 클라우드, AI/ML(머신러닝), 생성형 AI에 관해 곁가지를 걷어내고 그 핵심만을 뽑아서 실용적 관점에서 정리하여 이 책에 담았다. 한 마디로 이 책은 AI 시대의 디지털 전환과 3가지 핵심 기술에 관한 교과서라고 할 수 있다.",,
핸즈온 머신러닝,오렐리앙 제롱,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
딥러닝/머신러닝",9.79117E+12,"실무 밀착형 예제부터 스테이블 디퓨전 등 최신 머신러닝 트렌드까지주요 인공 지능 콘퍼런스에서 전문가들이 소개한 최고의 실전 지침서 ** 독자의 편의를 고려한 분권(1권, 2권) ** 최신 라이브러리 버전으로 전체 코드 업데이트 ** 〈연습문제 + 해답〉, 〈머신러닝 프로젝트 체크리스트〉 수록
수학에 『수학의 정석』이 있다면 인공 지능에는 『핸즈온 머신러닝』이 있다!1판과 2판의 피드백을 적극 반영해 한층 더 업그레이드된 『핸즈온 머신러닝』이 3판으로 돌아왔습니다. ‘실제로 머신러닝을 구현하면서 학습한다’는 목표를 더욱 효과적으로 달성할 수 있도록 복잡한 주제를 구조화하고 난이도에 따라 순차적으로 학습할 수 있게 개선했습니다. 또한 누구나 쉽게 이해할 수 있도록 기존 설명을 더 친절하고 명확하게 다듬고 보완했습니다. 마지막으로, 빠르게 발전하는 분야인 만큼 전체 코드 버전과 기술 트렌드를 최신 정보로 업데이트했습니다(하단의 ‘출판사 리뷰’에서 3판의 업데이트 내용을 확인할 수 있습니다).머신러닝을 전혀 모르는 입문자도 온라인으로 제공되는 주피터 노트북을 활용해 손쉽게 실습할 수 있습니다. 여기에 박해선 역자의 친절한 추가 설명까지 더해져 답답함 없이 수월하게 학습할 수 있습니다.",,
월 20달러로 비즈니스 글쓰기 with 챗GPT,홍순성,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79117E+12,"아이디어부터 탈고까지 챗GPT 하나로뻔한 글 말고 사용자화까지 완벽하게
이 책은 누구나 쓸 수 있는 프롬프트로 누구나 뽑을 수 있는 뻔한 글쓰기가 아닌 ‘당신만의 글쓰기’를 챗GPT와 함께 하는 방법을 하나부터 열까지 알려드립니다. 생산성 툴 디자이너이자 교육, 컨설팅 전문가인 저자가 꼼꼼히 챙겨주는 챗GPT를 사용자 맞춤화하는 과정부터 짧은 글은 물론이고 긴 글까지 차근차근 완성하는 체계적인 단계를 밟아 보세요.누구나 프로처럼블로그, SNS 콘텐츠, 보고서, 프레젠테이션 스크립트, 데이터 분석까지챗GPT는 누가 어떻게 쓰느냐에 따라 무궁무진한 가능성을 가진 도구입니다. 때로는 SNS 콘텐츠를 뽑는 유능한 콘텐츠 기획자였다가, 깔끔하게 보고서와 프레젠테이션 자료를 정리해 주는 일잘러이면서 데이터 분석도 막힘 없이 해주는 똑똑한 분석가가 되기도 합니다. 이 모든 뛰어난 파트너를 챗GPT라는 도구 하나로 고용하는 방법을 알려드립니다.",,
이벤트 소싱과 마이크로서비스 아키텍처,손경덕,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
소프트웨어공학",9.79116E+12,"이벤트 소싱을 이해하기 위해 도메인 주도 설계와 객체지향 설계 원칙(SOLID)을 연계해서 설명하는 책이다. 이어서 이벤트 소싱의 핵심인 도메인 이벤트, 재수화와 스냅샷, 프로젝션/CQRS 메커니즘이 동작하는 방식과 이벤트의 버전을 관리하는 방법을 배운다. 헥사고날 아키텍처와 함께 여러 서비스가 API와 이벤트로 협력하는 방식을 알아보고 이벤트 기반 마이크로서비스에서 사가(SAGA)와 보상 트랜잭션으로 데이터 일관성을 달성하는 방법을 이벤트 소싱을 적용했을 때와 그렇지 않은 경우를 배우고 사용자 인터페이스와 관계를 설명한다. 마지막으로 쿠버네티스 환경을 구축하고 서비스를 배포해본다.",,
확산 모델의 수학,오카노하라 다이스케,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
인공지능일반",9.79119E+12,"이미지/동영상/음성/텍스트를 생성하는 확산 모델 기술의 수학적 원리
확산 모델은 DALL-E2, 미드저니, 스테이블 디퓨전 등 텍스트에 대응하는 이미지를 생성하는 기술의 바탕으로 고품질 데이터를 창출하는 생성 모델로 주목받고 있다. 이 책은 확산 모델의 기본적인 개념부터 그 발전 과정과 응용 사례를 매우 자세히 설명한다. 확산 모델의 원리를 수학적으로 살펴봄으로써 이론을 한층 더 잘 이해하고 확산 모델의 높은 잠재력을 끌어낼 수 있을 것이다.",,
구글 엔지니어는 이렇게 일한다,타이터스 윈터스,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
소프트웨어공학",9.79116E+12,"구글은 어떻게 개발하고 코드를 관리하는가
지난 50년의 세월과 이 책이 입증한 사실이 한 가지 있습니다. 바로 '소프트웨어 엔지니어링의 발전은 결코 정체되지 않는다'라는 것입니다. 빠른 기술 변화 속에서 소프트웨어 엔지니어링의 중요성이 더욱 강조되면서 소프트웨어 엔지니어의 역할은 점점 더 확장될 것입니다. 이제 더 이상 소프트웨어 엔지니어링은 단순히 조직을 효과적으로 운영하는 방법에 그치지 않을 것입니다. 이 책에서는 여러분이 궁금해하고, 반드시 알아야 할 프로그램을 효과적으로 짜는 방법은 물론, 코드베이스를 지속 가능하고 건실하게 만들어주는 엔지니어링 관행까지 모두 소개합니다. 이 책 한 권이면 소프트웨어 엔지니어링 프로세스를 완벽하게 익히고 좋은 제품을 남들보다 빠르게 구현할 수 있게 됩니다. 또한 20년 넘게 수만 명의 구글러가 쌓아온 노하우도 습득할 수 있습니다. 품질 좋은 소프트웨어 제품을 신속하게 개발하고 싶거나 구글의 소프트웨어 관리 방법이 궁금한 모든 이에게 훌륭한 안내서가 되어줄 것입니다.
☞ 선정 및 수상내역2023 대한민국학술원 우수학술도서 선정도서",,
밑바닥부터 시작하는 딥러닝,사이토 고키,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
인공지능
 > 
딥러닝/머신러닝",9.78897E+12,"직접 구현하고 움직여보며 익히는 가장 쉬운 딥러닝 입문서!
『밑바닥부터 시작하는 딥러닝』은 라이브러리나 프레임워크에 의존하지 않고, 딥러닝의 핵심을 ‘밑바닥부터’ 직접 만들어보며 즐겁게 배울 수 있는 본격 딥러닝 입문서다. 술술 읽힐 만큼 쉽게 설명하였고, 역전파처럼 어려운 내용은 ‘계산 그래프’ 기법으로 시각적으로 풀이했다. 무엇보다 작동하는 코드가 있어 직접 돌려보고 요리조리 수정해보면 어려운 이론도 명확하게 이해할 수 있다. 딥러닝에 새롭게 입문하려는 독자들과 기초를 다시금 정리하고 싶은 현업 연구자와 개발자에게 유용한 책이 될 것이다.새로운 지식을 배울 때 설명만 들어서는 석연치 않거나 금방 잊어버리게 된다. 그래서 무엇보다 ‘직접 해보는 것’이 중요하다. 이 책은 딥러닝의 기본을 ‘이론 설명’과 ‘파이썬 구현 코드’라는 투 트랙으로 설명한다. 각 장은 주제 하나를 설명한 후 그것을 실습할 수 있도록 꾸몄다. 즉, 실행되는 소스 코드를 준비했다. 소스 코드를 읽으면서 스스로 생각하고 그 생각을 반영해 실험하다 보면 확실하게 자기 것으로 만들 수 있다. 여러 실험을 해보면서 겪는 시행착오 역시 큰 자산이 될 것이다.",,
그림으로 이해하는 알고리즘,이시다 모리테루,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터공학
 > 
자료구조/알고리즘",9.79114E+12,"알고리즘과 자료 구조, 이렇게 쉽게 표현하고 이해할 수 있다고?전 세계 250만 다운로드 ‘알고리즘 도감’ 앱을 책으로 엮은 일본 아마존 스테디셀러, 개정2판!
알고리즘은 같은 목적을 달성하더라도 서로 다르다. 어떤 알고리즘은 실행 시간이 짧지만 메모리를 많이 사용하고, 어떤 알고리즘은 실행 시간이 길지만 메모리를 적게 사용한다. 다양한 알고리즘을 안다는 건 프로그램을 만들 때 선택지가 늘어난다는 의미다. 효율적인 알고리즘을 실행하기 위해서는 그에 맞는 적절한 자료 구조를 사용해야 한다. 즉, 상황에 맞게 최적의 알고리즘과 자료구조를 선택할 수 있는 능력은 좋은 프로그래머가 되기 위한 조건 중 하나다. 이 책은 ‘알고리즘 도감’이라는 애플리케이션을 기반으로 작성했다. 앱은 애니메이션을 사용해 알고리즘의 동작을 설명하는데, 이 책은 그림을 충분히 사용해 동작하는 앱만큼 알기 쉽게 만들었다. 또한 앱에는 없는 ‘알고리즘이란 무엇인가’, ‘알고리즘의 계산 시간’, ‘그래프의 기초’ 같은, 알고리즘 학습 전 알아야 하는 기본 내용을 새롭게 작성했다. 개정2판에는 1판과 앱에서 다루지 않은 ‘데이터 압축’을 추가하고 ‘최소 신장트리’, ‘매칭’ 같은 그래프 문제와 ‘문자열 매칭’을 새로 추가했다.",,
하이테크 에듀테크 미래교육 실전활용법,김병남,"국내도서
 > 
컴퓨터/IT
 > 
컴퓨터입문/활용
 > 
컴퓨터교육",9.79119E+12,"이 책은 체험형, 참여형 수업도구 만들기부터 과목별 AI코스웨어 완벽 활용법까지 모두 담은 교사주도 AI 디지털 기반 미래교실 수업 활용서이다.
이 책에 담긴 핵심 내용은 다음과 같다. - 교사보다 학생이 더 만족하는 하이테크 프로그램 직접 만들고 활용하기  - 교수학습 자료를 만드는 시간을 확 줄이는 교사를 위한 3가지 자동화 프로그램 만들기 - 학생 참여율과 만족도가 높은 3가지 참여형 수업도구 만들기 - AI코스웨어 과목별 수업 실전 활용법",,
