책 이름,작가,장르,ISBN,책 소개
행정법강의,박균성,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정법",9.79113E+12,2023년 1월 20일 간행된 제20판 이후의 이론 및 판례의 발전과 행정소송규칙 등 법령의 제정·개정을 모두 반영하였다. 매년 개정에서 이론과 중요 판례를 망라하여 서술하면서도 중요한 내용 위주로 체계적이고 논리적으로 완성도 높게 서술하였다. 판례의 주요 내용을 판례박스 위 본문에 서술하였으므로 본문만 보더라도 모든 판례의 입장을 알 수 있다. 판례에 밑줄을 긋고 필요한 경우 간단한 해설을 붙여 판례에 대한 이해도를 높였다. 이론에 대응하는 판례 및 사례를 많이 들어 이론에 대한 이해도를 높이고 응용력을 기를 수 있게 하였다.
지역정책 ESG 전략,양세훈,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
지방자치",9.78898E+12,"양세훈의 『지역정책 ESG 전략』은 〈동물복지와 ESG〉, 〈사회복지와 ESG〉, 〈산림복지와 ESG〉 등에 대한 기초적이고 전반적인 내용이 수록된 책이다."
소멸 위기의 지방도시는 어떻게 명품도시가 되었나?,전영수,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
지방자치",9.79119E+12,"대한민국은 전 세계에서 전례를 찾을 수 없을 정도의 빠른 속도로 초고령사회로 달려가고 있다. 고령화 사회의 교과서격인 일본의 추세는 이미 가뿐히 제쳤다. 저출산 고령화와 수도권 집중이라는 두 축이 만들어낸 지방 소멸은 이제 되돌릴 수 없는 대세가 되었다. 지방 소멸 경고를 받은 지자체는 다수이고 이런 추세라면 오래지 않아 소멸지역 1호가 출현하는 것을 목격하게 될 것이다. 지방 소멸 문제는 뾰족한 대책이 없다는 것이 가장 큰 문제다. 많은 방법을 강구했지만 효과는 적었다. 이제 그 방법 자체가 아니라 과정과 사정을 들여다봐야 할 때다. 우리에게 소중한 선행사례인 일본을 예로 들면, 지역 소멸의 만병통치약처럼 인용되는 ‘콤팩트시티’를 지향한 지역들이 정반대의 결과를 낳는 것을 볼 수 있었다. 이 책은 소멸 위기에서 부활한 일본의 명품도시 8곳을 선정해, 지역활성화의 씨앗이 어떻게 뿌려지고 어떤 노력으로 열매를 맺는지를 현장 중심, 인간 중심으로 탐색한다. 전 세계가 벤치마킹하는 명품도시의 생존전략을 통해 지역 소멸을 극복할 새로운 희망과 단초를 발견하게 될 것이다."
행정법 입문,김종보,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정법",9.78896E+12,"행정법입문이 2022년 제3판으로 이어진다. 그 사이 집필되었던 행정행위 무효이론, 협의의 소익이론에 대한 논문을 반영하고, 새로 제정된 행정기본법의 내용을 간략히 추가한 것이 제3판의 주요 내용이다."
강제수사실무 절차론,김정헌,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
경찰/경호
 > 
수사",9.79113E+12,2판발행  2023.07.31초판발행 2023.01.20 2023년 1월에 초판이 발행되고 불과 6개월 만에 모두 완판되었다. 과분하게 호평을 받은 점에 대해 독자들에게 감사드린다. 초판 완판 후 출판사로부터 2쇄 인쇄를 요청받았을 때만 하더라도 초판을 그대로 재출판할 생각이었다. 하지만 6개월 사이에 강제수사에 관한 중요한 판례들이 다수 선고되어 이를 소개하지 않을 수 없게 되었다. 부족한 초판을 재출판하기보다는 최신 판례를 반영한 개정판을 내기로 마음을 바꾸었다.독자들이 꼭 알아야 할 최신의 대법원과 하급심 판례를 빠짐없이 수록하려고 노력하였다. 2023년 6월 말까지 선고된 중요 판례를 추가하였다.한편으로 종전에 미흡했던 설명을 수정·보완하였다. 사건 개요 중 전체적인 맥락을 이해하는 데 불필요한 부분은 과감히 삭제하였다. 대법원 2021. 11. 18. 선고 2016도348 전원합의체 판결에서 최초로 언급한 ‘실질적 피압수자’ 개념을 압수·수색의 참여권자 부분에 새로운 목차로 추가하여 상술하였다. 초판에서 설명이 부족하였던 ‘적법한 압수물의 별건 증거 사용’도 압수·수색의 관련성 부분에 추가하였고 그 밖에 일부 내용도 수정·보완하였다.본서가 독자들에게 조금이나마 도움이 되었으면 한다. 끝으로 저자에게 초판 및 개정판 발행의 기회를 주신 박영사에 큰 감사를 드린다. 2023년 6월  검사 김정헌
수사의 정석: 재산범죄,강동필,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
경찰/경호
 > 
범죄학",9.79114E+12,"그동안 개정 형사소송법이 시행되고 재산범죄 분야에서 많은 중요 판결들이 쏟아졌다. 수사심사관 업무를 통해 살아 있는 현장 사례를 접하게 되었다. 현직 수사관 밴드에 그간 소개한 하급심 판결과 실무자 의견도 상당히 누적되어 개정판에서는 이를 충실히 반영하고자 하였다. 아울러 사기방지연구회 활동에서 발표한 다중피해조직사기와 사기방지기본법을 함께 소개하였다. 기존 책을 「1권 재산범죄의 요건과 실무쟁점」, 「2권 수사에 필요한 민사법」으로 분권하였다. 우선 1권을 출판하고 2권도 조만간 출판 예정이다. 이번 개정판의 특색은 다음과 같다. ○ 최신 대법원 판례와 중요 하급심 최대한 반영○ 계약 유형에 따른 사기죄 판결례 정리○ 최근 입법추진중인 사기방지기본법 및 다중피해조직사기 소개 ○ 부동산, 동산, 금전 등 그 객체에 따른 횡령죄 판단기준을 정리 ○ 배임죄는 부동산 이중양도, 업무상배임, 기타 배임 유형으로 분류○ 수사관 커뮤니티(네이버 밴드, 민사법에 기반한 경제범죄수사) 실무 의견 기재"
다시 생각하는 정부와 혁신,윤태범,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
정책학
 > 
정부관련",9.78892E+12,"정부, 혁신 그리고 정부혁신에 대해서오랜 시간 연구하고 고민해 온 윤태범 교수가 독자에게 보내는 편지
정부, 혁신. 언뜻 생각하면 어울리지 않는 단어들이다. 그러나 곰곰이 생각해 보자. 굳이 인공지능과 AI시대를 언급하지 않더라도 끊임없이 혁신하지 않는 정부가 과연 생명력을 가질 수 있을까. 우리는 지난 역사를 통해서 정부혁신은 국민과 국가를 위해 반드시 필요함을 경험하였다. 윤태범 교수는 오랫동안 정부혁신을 연구하고 가르쳐왔을 뿐만 아니라, 시민사회와 국책 연구원 등 공적 영역에서 이를 실천해 온 드문 연구자이다. 이 책에서 그는 어째서 정부혁신을 해야 하는지 일관되게 주장하고 있다. 실천과 이론을 겸비한 학자인 그의 주장이 담긴 이 책에 우리 사회와 정부가 귀를 기울여야 하는 이유다. 정부란 무엇인지, 정부혁신은 어떻게 추진되어야 하는지 저자는 오랜 경험을 통해서 행정학을 공부하지 않은 대중들도 쉽게 읽을 수 있도록 풀어서 설명하였다. 이 책은 정부와 혁신 그리고 정부혁신에 대한 새로운 논의의 출발점이 될 것이다."
한국행정의 이해,이종수,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
행정학
 > 
행정학이론",9.78898E+12,▶ 이 책은 한국행정 이해에 대해 다룬 도서입니다. 한국행정의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
경제범죄수사 실무매뉴얼,김성택,"국내도서
 > 
정치/사회
 > 
행정/정책
 > 
경찰/경호
 > 
범죄학",9.79113E+12,"『경제범죄수사 실무매뉴얼』은 〈경제팀 사건 수사절차(이론편)〉, 〈수사민원상담〉, 〈실전편(고소장 분석부터조사 후 수사결과보고 작성까지)〉, 〈민사지식편(수사와 민사)〉를 수록하고 있는 책이다."
장창수의 역량평가 인바스켓,장창수,"국내도서
 > 
경제/경영
 > 
경영관리
 > 
인적자원관리",9.79117E+12,"《장창수의 역량평가》, 《장창수의 정책기획과 발표 강의》에 이은 장창수 저자의 신작입니다. 보통 역량평가를 준비하시면서 인바스켓에 가장 어려움을 겪으시는데, 그런 분들을 위한 도서를 출판했습니다. 우리는 전통적으로 이해하고 사고하기보다는 외우는 학습에 익숙하기에 인바스켓과 같은 새로운 평가 및 개발 방법론은 우리를 곤혹스럽게 합니다. 인바스켓에 효과적으로 대응하기 위해서는 별도의 학습이 필요합니다. 본서는 인바스켓의 필요 이론과 평가 적용 포인트까지 모두 담았습니다. 여러분의 학습에 큰 도움이 될 것입니다."
거의 모든 전쟁의 역사,제러미 블랙,"국내도서
 > 
역사/문화
 > 
세계사
 > 
교양세계사",9.79119E+12,"전쟁사 최고의 권위자 제러미 블랙과 예일대학교출판부 30년 합작의 결과물!간결하면서도 밀도 높은 텍스트, 40개의 장으로 전쟁과 인간의 역사를 망라하다!
책의 저자이자 저명한 역사학자인 제러미 블랙은 영국 육군사관학교에서 석좌교수를 역임한 바 있는 군사사(軍事史) 전문가로, 대중 역사서를 비롯한 많은 저서를 펴냈으며 국내에도 꽤 여러 권의 책이 소개된 석학이다. 그가 이번에 예일대학교출판부를 통해 선보이는 이 책은 인류 역사 시초부터 현재, 심지어 미래까지 이어질 전쟁사를 40개의 장으로 정리하여 책 한 권에 담고자 시도한 흥미로운 결과물인 동시에, 단순히 역사적 사실을 나열하고 설명하는 식으로 보여주는 무미건조한 구성에서 벗어나 자신의 관점과 노력을 탁월하게 반영한 ‘도전적인’ 책이다.지난 수천 년간 전쟁은 인간 삶의 사회·정치·종교적 측면을 폭력적으로 바꾸어왔다. 모든 문화가 공동의 목표를 세우고 강화하기 위해 과거와 현재와 미래의 전쟁을 이야기하지만, 한 공동체가 과거의 전쟁을 어떻게 이해하느냐에 따라 비극적인 결과를 초래할 수도 있다. 이 광범위하면서도 쉽게 읽히는 책에서 제러미 블랙은 한나라로부터 아시리아, 로마 제국으로부터 나폴레옹 프랑스, 베트남으로부터 아프가니스탄에 이르기까지 전 세계적 현상으로서의 전쟁을 검토하며, 그 과정에서 전쟁의 기원, 초기의 요새와 성, 19세기 제국주의 등 주제별로 이야기를 풀어낸다. 우리는 지금도 전쟁의 시대를 살고 있다. 러시아의 우크라이나 침공으로 벌어지고 있는 참혹한 전쟁에서 실시간으로 전해지는 뉴스는, 아직 끝나지 않은 전쟁의 터전에서 살고 있는 우리를 더 비통하게 만든다. 이런 상황에서 이 책은 전쟁이 어떻게 역사를 만들고 바꾸어왔는지, 그리고 이를 토대로 우리가 어떤 미래로 나아가야 할지를 보여준다."
요즘 어른을 위한 최소한의 전쟁사,김봉중,"국내도서
 > 
역사/문화
 > 
세계사
 > 
세계사이야기",9.79119E+12,"수천 년 세계사를 관통하는 전쟁사의 파노라마그 어떤 영화보다 흥미진진하다!
인간의 욕망, 그것을 부추기는 집단과 사회. 종교와 민족에 대한 광적인 믿음, 그리고 그것을 떠받치는 개인과 집단의 광기. 이런 인간의 다양한 모습을 종합적으로 투영하는 전쟁사만큼 우리 인간을 적나라하게 보여주는 것이 또 있을까? tvN 〈벌거벗은 세계사〉를 통해 복잡한 세계사를 누구보다 쉽고 흥미롭게 알려주고 있는 대표적인 역사 스토리텔러 김봉중 교수가 국제 정세를 이해하기 위해 반드시 알아야 할 전쟁사의 파노라마를 이 책을 통해 펼쳐 보인다. 인류의 역사는 전쟁의 역사라고 해도 과언이 아니며, 전쟁을 모르고는 세계사를 이해할 수 없다. 기원전부터 현재에 이르기까지 우리가 반드시 기억해야 할 18개의 전쟁 이야기를 통해 독자들은 수천 년 세계사의 거대한 흐름을 통째로 이해하는 것은 물론 미래를 내다보는 통찰력까지 갖게 된다."
DK 지도로 보는 전쟁사,DK 전쟁사 편집위원회,"국내도서
 > 
역사/문화
 > 
세계사
 > 
세계사이야기",9.78892E+12,"인류의 역사를 결정지은 세계사적 전투지도 위에서 펼쳐지는 치열한 현장 속으로
비주얼 대백과의 명가 영국 DK 출판사에서 펴낸 지도서 시리즈 중 하나인 Battles Map by Map의 한국어판이 출간되었다. 이 책은 고대부터 21세기까지 인류의 역사를 결정지은 100개 이상의 세계사적 전투를 다룬다. 세계 최초의 전쟁으로 알려진 카데시 전투부터, 그리스가 페르시아군의 서진에 제동을 건 마라톤 전투, 성채 중심으로 공격과 방어를 하는 예루살렘 공성전을 비롯하여, 동아시아의 주요 전투인 적벽 대전, 한산도 대첩, 세키가하라 전투, 그리고 나폴레옹의 운명을 결정지은 워털루 전쟁, 프랑스의 식민통치에서 베트남을 해방시킨 디엔비엔푸 전투, 2003년에 발발한 이라크 전쟁까지 포함되어 있다. 승패를 가른 전술과 획기적인 무기, 뜻밖의 행운으로 시시각각 변하는 전투의 양상이 아름답고 세밀한 150개 이상의 스토리텔링 지도 위에 펼쳐진다. 그 당시 전투를 생생하게 묘사한 270컷 이상의 그림과 사진까지 압도적 대형 판형의 올컬러 양장본에 담겨 있어 전쟁사 마니아에게 소장 가치가 충분하다."
보통장군 전인범,전인범,"국내도서
 > 
정치/사회
 > 
국방/군사
 > 
국방/군사일반",9.79117E+12,"더 좋은 세상을 꿈꾸는 군인,부하에게 사랑받고 동맹국 군인에게 존경받은 장군의 이야기
육사에 턱걸이로 입학한 청년이 있었다. 키가 작고 운동신경도 그리 좋지 못했지만 어릴 적부터 군인의 꿈을 꾸던 그 청년은 북한 공작원이 설치한 폭탄이 터진 아수라장 속에서 상관을 구해 냈고, 동부전선 최전방의 고지에서 부대원을 이끌었다. 전장과 안전지대의 구분이 없던 이라크에서 최초의 민주적 선거를 지원하고 아프가니스탄에서는 탈레반에게 납치된 한국인 인질들의 구출에 최선을 다했다. 사단장으로 재직하며 전역하는 병사들에게 경례로 배웅하던 그는 병사들의 보급품을 위해 상급자 앞에서 입에 슬리퍼를 물었다. 미군에게 강한 신뢰를 얻어 한미동맹을 굳건하게 다지는 데 일조하던 그는 특전사령관으로 재직하면서는 수많은 개혁 조치를 수행하여 ‘영원한 특전사령관’이라는 칭송을 받았다. 제1군 부사령관을 마지막으로 35년간 몸담았던 군문을 나섰지만, 이후로도 한미동맹을 위해 활발히 활동하며 대한민국을 위한 헌신을 이어 가고 있다. 전인범 전 특전사령관의 이야기다.부하들의 경애를 받는 군인이 되는 일은 능력 있는 군인이 되기보다도 어렵다. 그저 무른 사람이어서도 안 되고, 엄하고 가열차기만 해서도 안 된다. 병사들은 누가 자신들을 진정으로 아끼는지, 또 누가 자신들을 허투루 여기는지 쉬이 알아차리기 때문이다. 전인범 장군은 솔선수범과 원칙에 입각한 강직함, 그리고 진정으로 부하들을 위하는 리더십으로 그 어렵다는 존경과 사랑을 얻었다. 그의 지휘를 받았던 많은 사람들이 마치 자신의 무용담처럼 자랑스레 전인범 장군의 일화를 회고한다. 창군 초기를 제외하면 대한민국 장성 중 가장 많은 훈장을 수훈한 탁월한 군인이라는 사실보다도 어쩌면 그는 자신이 부하들에게 사랑받았다는 사실을 더욱 자랑스러워할 것이다.이 책은 부하와 미군에게 경애받던 장군, 전인범의 발자취를 좆는다. 외교관으로 일하시던 어머니를 따라 이리저리 옮겨다니면서도 군에 대한 꿈을 품던 어린 시절부터 시작해 청운의 꿈을 안고 군문에 들어섰으나 좌절을 겪어야 했던 초급 장교 때의 이야기, 아웅 산 테러 사건에서 상관을 구하며 영웅이 되었지만 때로는 잘못된 선택을 하기도 하고 현실의 벽이나 답답한 현실에 좌절하고 고민하던 이야기도 가감 없이 담겼다. 그러나 그 모든 과정 속에서 조국에 대한 헌신, 가족과 부하들에 대한 애정, 동물과 취미를 사랑하는 소탈함과 함께 전인범 전 특전사령관의 진심을 읽을 수 있을 것이다."
중동전쟁,임용한,"국내도서
 > 
역사/문화
 > 
세계사
 > 
세계사이야기",9.78895E+12,"치열하게 살고 있는 당신을 위해임용한 박사가 쉽게 풀어주는 ‘시간순삭 전쟁사 시리즈’의 두 번째 편!
‘임용한의 시간순삭 전쟁사’는 〈토크멘터리 전쟁사〉에서 많은 사랑을 받았던 임용한 박사와 대본을 쓴 조현영 작가가 뭉쳐서 쓴 전쟁사 시리즈이다. 한 권만 읽으면 전쟁사를 전부 이해할 수 있도록 쉽게 풀어쓰고, 인포그래픽을 도입했다. 전쟁사, 밀리터리 덕후, 역사 독자는 물론 치열하게 하루하루를 전쟁처럼 살아가고 있는 사람이라면 누구나 자신의 이야기처럼 읽을 수 있다.시리즈의 두 번째 책인 《중동전쟁: 전쟁이 끝나면 정치가 시작된다》는 네 차례에 걸쳐 일어난 전쟁인 중동전쟁을 다룬다. 그 배경인 유대인 민족의 형성부터 시작해서 1차, 2차, 3차, 4차 전쟁의 세세한 진행 과정과 결과를 짧은 호흡으로 읽기 쉽게 풀어냈다. 이 책을 읽으면 중동전쟁의 내용을 파악하는 것은 물론, 어떻게 약체로 평가받은 이스라엘이 전쟁에서 승리했는지, 이 전쟁이 일어난 본질은 무엇인지, 전쟁이 어떤 영향을 미쳤는지 등 다양한 통찰을 얻어갈 수 있다."
