책 이름,작가,장르,ISBN,책 소개
악의 꽃,샤를 보들레르,"국내도서
 > 
시/에세이
 > 
해외시
 > 
프랑스시",9.78894E+12,"감각적인 디자인으로 돌아온 세계시인선!
한국 시문학의 바탕을 마련한 「세계시인선」. 대부분 번역이 일본어 중역이던 시절, 원문과 함께 제대로 된 원전 번역을 시작함으로써 세계 시인선은 우리나라 번역 수준을 한 단계 높이는 데 기여했다. 지금까지의 독자 호응에 감사하는 마음으로 세계시인선은 새로운 단장을 시작했다. 세련된 표지와 더불어 젊은 감성을 지향한 것. 전통은 고수하면서도 참신한 기획을 위해 문학성을 재조명했다. 또한 형식에서는 세계시 인선만의 원문 병기를 유지했지만 디자인에서는 감각적인 미니멀리즘을 추구했다. 민음사 세계시인선 제7권 『악의 꽃』. 샤를 피에르 보들레르의 시집 을 황현산 문학평론가의 참신한 번역으로 펴냈다. 정치, 윤리, 혹은 종교적 내용이 전혀 없고, 화려한 수사로 독자들에게 감명을 주려고 하지도 않은, 보를레르의 감정에서 나온 진실의 목소리를 만난다."
망할 놈의 예술을 한답시고,찰스 부코스키,"국내도서
 > 
시/에세이
 > 
해외시
 > 
영미시",9.78894E+12,"[민음사 세계시인선]은 1973년 시작하여 반세기 동안 새로운 자극으로 국내 시문학의 바탕을 마련함으로써, 한국 문단과 민음사를 대표하는 가장 중요한 문학 총서가 되었다. [민음사 세계시인선] 제48권 [망할 놈의 예술을 한답시고]는 찰스 부코스키가 노년에 출간했던 시집이다. 일흔의 나이에 “작가의 벽에 부딪힌” 시인은 자신의 모든 것을 긍정하며 글쓰는 삶의 가치를 인정하다."
은엉겅퀴,라이너 쿤체,"국내도서
 > 
시/에세이
 > 
해외시
 > 
독일시",9.79119E+12,"시인 외에 다른 아무것도 아닌 사람, 라이너 쿤체.
그의 시는 모든 생명 있는 것들, 아름다운 것들을 따뜻하게 바라본 후 만들어졌습니다. 쿤체 시인의 시들 중 가장 울림이 큰 작품 70여 편을 최선을 다해 고르고, 정성을 다해 옮겼습니다. - 전영애(옮긴이)낮고 조용한 목소리로 시대의 문제들을 올곧고도 섬세하게 증언하는 시인 라이너 쿤체의 시들은 쉽고 친근한 말들로 이루어져, 시가 특별하고 우아하고 낯선 세계에 존재하는 것이 아니라, 먹고 마시고 일하고 사랑하는 사람들 속에서 나오고 또 그들 속에 존재하는 지극히 일상적인 것임을 보여줍니다."
백만 광년의 고독 속에서 한 줄의 시를 읽다,류시화,"국내도서
 > 
시/에세이
 > 
해외시
 > 
일본시",9.7912E+12,"단 열입곱 자 안에 담긴, 한 줄의 시!
하이쿠모음집 《한 줄도 너무 길다》로 하이쿠에 대한 관심을 불러일으킨 바 있는 류시화 시인이 다시금 내놓은 하이쿠 소개서『백만 광년의 고독 속에서 한 줄의 시를 읽다』. 열일곱 자로 이루어진 하이쿠는 세계 문학에서 가장 짧은 형태의 시다. 짧은 시가 가진 함축미와 선명한 이미지는 일찍이 세계의 문학가들에게 사랑받았지만, 우리나라에는 여전히 생소하기만하다. 이에 류시화 시인은 하이쿠를 읽기 위해 독학으로 일본어와 일본 문학을 배워가장 널리 읽히고 문학적으로 평가받는 하이쿠를 모두 모았으며, 15년의 시간을 들여 일본의 대표적인 하이쿠 시인들의 작품을 모아 충실한 해설을 붙였다. 책에는 750쪽에 달하는 방대한 분량으로, 에도 시대의 바쇼, 부손, 잇사, 시키뿐 아니라 현대의 다코쓰, 만타로, 구사타오 등 130명의 시인들의 주옥같은 하이쿠 1,370여 편이 실려 있다. 또한 책 뒤의 150쪽에 이르는 해설 '언어의 정원에서 읽는 한 줄의 시'는 하이쿠의 역사와 배경뿐 아니라 서양의 하이쿠 시인들에 대한 소개까지 담아 하이쿠의 세계를 깊이 이해할 수 있다. 과거와 현대의 하이쿠가 집대성되고 진지한 해설이 곁들여진 이 책은 우리나라 뿐 아니라 일본이나 서양에서도 귀한 자료가 되어줄 것이다. 특히 캘리그라퍼 강병인이 쓴 하이쿠 캘리 다섯 점이 특별 제본으로 담겨 있다.
하이쿠를 읽는 것은 일본인의 감성에 접근하는데 도움이 되겠지만, 단지 일본을 이해하려고 하이쿠를 번역하고 소개한 것은 아니라고 저자는 말한다. 우리를 둘러싸고 있는 상징들, 인간 존재라면 누구나 공감하는 계절적인 느낌들, 아름다움은 영원이 아니라 변화와 소멸에 있다는 자각 등의 깨달음을 표현하는 새로운 형식의 시를 소개하고 싶었다고 고백한다. 이 책은 단 열입곱 자로 이루어진 새로운 형식의 시를 선사하며, 그 속에 담긴 아름다운 언어를 깊이 감상할 수 있는 시간으로 초대한다."
밤을 채우는 감각들,에밀리 디킨슨,"국내도서
 > 
시/에세이
 > 
해외시
 > 
영미시",9.78894E+12,"19세기를 대표하는 네 시인에밀리 디킨슨, 페르난두 페소아,마르셀 프루스트, 조지 고든 바이런의 시를선별하여 엮은 세계시인선 필사책
19세기를 대표하는 시인 에밀리 디킨슨, 페르난두 페소아, 마르셀 프루스트, 조지 고든 바이런의 작품을 선별하여 엮은 민음사 세계시인선 필사책 『밤을 채우는 감각들』이 출간되었다. 세계시에 친숙하게 다가가지 못했던 독자들, 세계시를 음미하고 싶었던 독자들을 위해 민음사 세계시인선 『고독은 잴 수 없는 것』, 『시는 내가 홀로 있는 방식』, 『시간의 빛깔을 한 몽상』, 『차일드 해럴드의 순례』에서 접할 수 있었던 작품 중 한 번 더 깊이 감상하면 좋을 시들을 엄선하였다.고독과 허무, 죽음을 주제로 했던 에밀리 디킨슨은 우주적 사색을 짧은 글에 담은 시인으로, 삶과 죽음의 의미에 대해 따라 읽고 쓰며 숙고하기 좋은 작품들을 써냈다."
"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.79119E+12,"“인생은 한 번이지만, 행복은 수없이 피어나길”인생 후반을 따스하게 감싸줄 햇볕 같은 문장들 65
나이 듦에 대한 새로운 시각과 농익은 지혜가 가득 담긴 이 책은 인생 후반기에 접어든 이들에게 진한 위로를 전하며 ‘중년들의 인생 에세이’로 자리매김하였다. 이후 후속작을 기다리는 독자들의 열띤 성원에 힘입어 2년 만에 출간된 신작 《꽃길이 따로 있나, 내 삶이 꽃인 것을》은 우리에게 더 깊어진 이야기를 전한다.나이의 무게가 가장 무겁게 느껴지는 인생의 중턱. 때론 내가 인생을 잘못 산 것일까 후회가 밀려오고, 앞을 바라보면 나아갈 날의 끝이 어디쯤인지 몰라 까마득한 시기다. 이 나이쯤이면 단단해질 줄 알았는데, 여전히 삶은 불안하고 공허하고 흔들린다. 그 어느 때보다 진심 어린 응원이 필요한 시기를 넘어가는 이들에게, 이 책은 어깨를 짓누르는 삶의 무게를 털어줄 위로와 응원 그리고 행복한 인생 2막을 열어줄 지혜를 65개의 글로 전한다. 또한, 시간이 흐를수록 더 사랑받는 40여 점의 명화와 쇼펜하우어, 니체, 소크라테스 등 인생 선배들의 격언까지 글 중간중간에 수록되어 메시지와 감동을 풍성하게 더한다.지금껏 가족을 위해 행복을 뒤로 미루며 살아온 부모님에게, 세상의 기준에 맞추며 사느라 내 삶을 뒤로 미뤘던 나에게 이 책을 선물하자. 책 속의 문장들이 외롭고 지친 날 기댈 수 있는 든든한 쉼터가 되어줄 것이다."
전지적 루이 & 후이 시점,송영관,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
동물등장에세이",9.79117E+12,"“매일매일 자라나는 우리의 이름을 불러주세요.루이바오와 후이바오는 그렇게 특별해지는 거예요!“
에버랜드 판다월드에 찾아온 또 다른 기적 루이바오와 후이바오의 탄생과 성장의 스토리를 담은 포토에세이가 출간된다. 지난해 7월 7일, 많은 이들의 관심과 애정 아래 아이바오는 국내 첫 쌍둥이 판다 자매를 출산했다. 자연번식으로 태어난 두 아기 판다는 생후 100일 무렵 이름 공모 이벤트를 통해 ‘슬기로운 보물’이란 뜻의 루이바오, ‘빛나는 보물’이란 의미의 후이바오로 이름 지어지며 바오패밀리와 팬에게 특별한 기쁨을 선사했다. 루이바오와 후이바오는 아이바오의 사랑과 판다월드 주키퍼의 보살핌, 팬들의 애정 아래 하루하루 진정한 판다로 성장하며 1살을 맞이했다. 《전지적 푸바오 시점》으로 행복을 주는 보물 푸바오와 함께한 기억을 전한 작은할부지 송바오(송영관 주키퍼)가 이번 《전지적 루이&후이 시점》에도 함께한다.그는 루이바오와 후이바오의 첫 포토에세이를 통해 쌍둥이 아기 판다의 탄생부터 1살이 되기까지 성장과정은 물론, 폭풍 성장담이 담긴 아이바오의 육아일기, 낭만판다 러바오의 행복한 순간을 전한다. 송바오의 밀착 사진은 물론, 국내 첫 쌍둥이 판다의 탄생을 담은 사진으로 2023년 미국 〈타임〉에 ‘올해의 사진’으로 선정된 류정훈 사진작가(에버랜드 소속)가 포착한 판다월드의 특별하고 행복한 일상도 함께 담겨 있다. 국내 첫 쌍둥이 아기 판다의 행복과 바오패밀리의 사랑이 담긴 이 책을 통해 독자는 각자만의 슬기롭고 빛나는 보물을 발견할 수 있을 것이다."
이렇게 작지만 확실한 행복,무라카미 하루키,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.78897E+12,‘소확행’ 열풍을 불러일으킨 무라카미 하루키 감성 에세이
명상록,마르쿠스 아우렐리우스,"국내도서
 > 
인문
 > 
인문학일반
 > 
인문교양",9.79119E+12,"그리스어 원전 완역판하버드대, 옥스포드대, 시카고대 필독 고전“1년에 두 번은 꼭 읽는다.” -빌 클린턴(前 미국 대통령)
현대지성에서 출간한 『명상록』은 영어, 라틴어, 그리스어에 능통한 박문재 번역가가 심혈을 기울여 꼼꼼히 번역한 그리스어 원전 완역판이다. 여기에 독자들을 위해 번역 과정에서 알게된 지식을 바탕으로 번역가의 상세한 해제를 수록하였고, 또한 아우렐리우스가 많은 영향을 받은 에픽테토스의 ‘명언집’을 부록으로 담아 이 불멸의 고전을 좀더 깊이 있게 이해할 수 있도록 하였다. 플라톤이 꿈꾸던 철학자 황제 마르쿠스 아우렐리우스가 쓴 명상록은 전쟁을 수행하고 통치하는 동안 머릿속에 떠오른 생각들을 단편적으로 기록한 책으로, 논증적인 글과 경구가 번갈아 나타난다. 그에게  자신의 내면은 외적인 그 어떤 것도 침범할 수 없는 “요새”였다. 따라서 명상록은 우리가 그의 요새의 광장으로 들어가는 관문인 셈이다.아우렐리우스는 스토아 철학을 자기 나름대로 변형시킨 것을 근간으로 삼아서, 자신에게 다가오고 있던 아주 민감한 도전들이자 인류 전체가 보편적으로 직면한 도전들에 대처하기 위한 힘을 발견하기 위해서, 자신의 핵심적인 신념들과 가치들을 짤막하면서도 강렬하고 흔히 힘 있는 성찰들을 통해 정확하게 표현해내려고 애쓴다. 그 도전들은, 그에게 다가오고 있던 죽음을 어떤 식으로 맞아야 하는가 하는 것, 자신의 사회적 역할을 정당화해 주는 논리를 발견하는 것, 자연 세계 속에서 도덕적인 교훈을 찾아내는 것 등이었다.명상록은 오랜 세월 역사상 가장 위대한 고전 가운데 하나로 여겨져 왔다. 그 사상은 마르쿠스 자신의 것이긴 하지만 독창적인 것은 아니었다. 그것은 스토아 철학이고, 에픽테토스의 가르침에서 나온 것이지만, 일부는 플라톤주의에 가까웠다. 인간의 삶과 죽음을 영원의 관점에서 성찰한 마르쿠스의 이 저작은 사람들에게 끊임없이 도전과 격려와 위로를 주는 영속적인 힘을 지니고 있다."
소년과 두더지와 여우와 말,찰리 맥커시,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.789E+12,"출간 직후 50만권 판매 돌파, 전 세계 22개국 번역 출간아주 특별한 네 친구가 주고받는 우정과 사랑, 희망
이 책의 저자 찰리 맥커시Charlie Mackesy는 일러스트레이터로 영국의 주간지 〈스펙테이터〉에 그림을 그리고, 옥스퍼드대학 출판부의 표지 디자이너로 일하고 있었습니다. 그러면서 일상에서 삶이란 무엇인지, 삶에서 정말 중요한 것은 무엇인지를 거듭 생각하며 친구들과 대화를 나누고는 했습니다. 그리고 그 대화를 글과 그림으로 표현하고는 했지요. 어느날 그는 친구와 함께 ‘용기란 도대체 무엇인지’에 관해, ‘그동안 했던 가장 용감한 일은 무엇이었는지’ 이야기를 나누었습니다. 그러면서 자신에게는 가장 힘든 시기 누군가에게 도움을 청한 것이야말로 가장 용기 있는 일이었음을 깨달았습니다. 그리고 다음과 같은 그림을 그렸습니다.그러고 매커시는 인스타그램에 그림을 올려둔 채 까맣게 잊고 있었습니다. 그런데 얼마 지나지 않아 곳곳에서 메일이 쇄도했습니다. ‘이 그림을 우리가 사용해도 괜찮겠는지?’ 문의하는 연락이었습니다. 중증장애를 치료하는 병원과 청소년학교, 군대 내 외상후스트레스 치료센터 등에서 온 요청이었습니다. 어느 날 자고 일어나니 유명해져 있더라는 말 그대로 그는 일약 스타가 되었습니다.책은 발간 즉시 영국 아마존의 전체 순위에서 1위를 차지했고, 미국 아마존에서 그래픽노블 1위를 지키고 있습니다. 뉴욕타임스와 유에스에이투데이, 월스트리트저널 등 유수한 일간지에서 #1 베스트셀러가 되었고, 영국과 미국의 오프라인 서점을 대표하는 워터스톤즈와 반즈앤노블에서 쟁쟁한 우수한 책들을 뛰어넘어 2019년 올해의책으로 선정되었습니다. 책, 〈소년과 두더지와 여우와 말〉은 글과 그림의 조화가 아름다운 그림책이기도 이야기책이기도 합니다. 밀레니얼들을 위한 삶의 지침을 담고 있는 철학책으로 분류되기도 합니다. 그러나 무엇보다 삶에 대한 깊은 성찰을 아름다운 그림과 진실한 글로 드러내는, 모든 연령대의 독자를 아우르는 책입니다."
고층 입원실의 갱스터 할머니,양유진,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
일기/편지",9.79117E+12,"“다행인 것은 이제 환자라는 걸 즐기는 지경까지 왔다는 것이다”100만 크리에이터 ‘빵먹다살찐떡’, 양유진이 처음 고백하는 난치병 ‘루푸스’ 투병오롯한 진심으로 당신에게 건네는 유쾌하고 담백한 응원
누군가의 오랜 아픔을 마주하는 일이 이토록 환하고 유쾌할 수 있을까? 마냥 해맑게 자랐을 것만 같았던 크리에이터 ‘빵먹다살찐떡’ 양유진의 첫 투병 고백 이야기다. 틱톡과 유튜브 채널 ‘빵먹다살찐떡’으로 수많은 이들에게 다정한 웃음을 선사한 저자는 이 책을 통해 지금까지 마음속에 꼭꼭 숨겨두었던, 난치병 ‘루푸스’(만성 자가면역 질환) 투병을 고백한다. 작은 방에서 홀로 찍었던 영상이 많은 이들에게 닿아 100만이 넘는 구독자를 모으기까지 괜스레 이야기하지 못했던 지난날의 아픔을 책에 조심스럽게 담아냈다. 10년 동안 난치병 환자로 살아오며 생사의 갈림길마다 자신을 일으켜 세운 사람들의 털털하고도 다정한 사랑이 저자가 이 책을 쓰게 한 동기다. 남모를 아픔으로 남들과 조금은 다른 길을 가야 했던 어린 날, 삶의 곳곳에서 나타나 삶의 방향과 태도를 가르쳐준 사람들을 위해, 또 자신이 받은 응원을 누군가에게 다시 돌려주기 위해, 저자는 용기를 내어 글을 쓰기 시작했다. 갑자기 불쑥 꺼낸 진지한 이야기에 멋쩍은 분위기가 될까 봐, 인기를 얻었다고 책을 내는 모양이 될까 봐, ‘빵떡’ 양유진은 밤을 지새우며 글자를 지우고 또 지우며 한 글자씩 꾹꾹 눌러 자신의 진심을 담았다. 그 진심 가득한 이야기들 속에서, 저자의 내면에 섬세하게 자리 잡은 수많은 사람이 선명하게 기록된다. 고층 항암 병동에서 입원했을 때 마주한 ‘갱스터 할머니’에게 꿋꿋한 삶의 태도를 배우고, 여행 중에 만난 동네 할아버지에게 고민의 힌트를 얻는다. 결국 살아갈 힘을 주는 것은 사람이라는 것을, 그 사람들과 함께 만든 꿈이라는 것을, 그 꿈을 통해 사람들과 함께 웃는 웃음이라는 것을, 이 책은 담백하고 진솔하게 당신에게 슬쩍 건넨다. 그런 의미에서 이 책은 ‘나’의 아픔에 대한 고백일 뿐 아니라, ‘나’를 살게 한 수많은 얼굴에 대한 기록이다."
사랑에 관한 거의 모든 기술,김달,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
사랑/연애에세이",9.79119E+12,"“왜 사랑할수록 불안할까?”90만 독자의 뜨거운 공감! 베스트셀러 작가 김달의 신작첫 만남부터 이별까지, 사랑할 때 반드시 알아야 할 모든 것!
인생에는 많은 중요한 것이 있지만, ‘사랑’ 또한 삶의 많은 부분을 결정하는 중대사다. 그런데 그 중요한 사랑의 순간에 우리는 늘 혼란하다. 상대의 마음을 제대로 읽을 수 없어, 어떻게 행동해야 할지 불안하고 확신이 서지 않기 때문이다. 사랑은 감정만으로 할 수 있는 것이 아니다. 반드시 ‘관계의 기술’이 필요하다. 그렇기에 항상 사랑이 어렵기만 했던 독자들에게 이 책은 사랑의 단계마다 가장 궁금했던 사항에 속 시원히 답해주는 ‘관계의 교과서’이자 ‘사랑의 바이블’이 되어줄 것이다. 구독자 88만 명, 누적 조회수 4억 회에 달하는 대한민국의 대표적인 관계 카운슬링 크리에이터 김달이 저자로 나서기에 더욱 신뢰할 수 있다. 사랑하고 싶지만, 제대로 방법을 몰라 고민하는 많은 독자에게 반가운 선물이 되어줄 책이다."
치즈덕이라서 좋아!,나봄,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.79119E+12,"★7년간 탑티어 이모티콘 망충대장 ‘치즈덕’ 첫 번째 책★초판 한정 수량 ‘치즈덕 책갈피’ 증정!★100% 미공개 작품 수록폐기될 뻔한 치즈에서지금의 치즈덕이 되기까지,행복으로 꽉 채운 치즈덕의 성장 에세이
《치즈덕이라서 좋아!》는 7년간 탑티어 이모티콘을 달성하며 많은 인기를 얻고 있는 캐릭터 ‘치즈덕’의 비기닝을 담은 첫 번째 책이다. 책의 모든 글과 그림은 단행본을 위해 저자가 새로 쓰고 그린 것으로, 지금껏 그 어디에서도 공개하지 않았던 100% 미공개 작품이라는 점에서 더욱 특별하다. 망충하고 세상 근심 없어 보이는 해맑은 치즈덕에게도 폐기될 뻔한 순간과 치즈와 오리 사이에서의 모호한 정체성으로 인한 고민, 남과의 비교에서 오는 시기와 질투가 있었다. 그러한 지난한 날들을 통해 한층 더 성장한 지금의 행복한 치즈덕이 되기까지의 과정을 담은 이 책은, 남들과 끊임없이 비교하며 좀 더 완벽해지기 위해 아등바등 살아가고 있는 우리에게, 가슴 따듯해지는 깨달음을 전한다.베스트셀러 작가 김상현은 “치즈덕의 귀엽고 천진난만한 모습 안에는 자신을 고귀하게 대하는 진심과 정성이 있음을 모두가 알게 되었으면 좋겠다.”며 이 책을 추천했다. 치즈덕이 전하는 다정하지만 힘 있는 메시지를 통해 남들과 비교하지 않아도 충분히 행복할 수 있음을 깨닫고, 내가 나로서 단단한 중심을 잡고 나아갈 수 있기를 응원한다."
삶으로 다시 떠오르기,에크하르트 톨레,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
명상/치유에세이",9.7912E+12,"지금, 에고와 결별을 선언한다!
『삶으로 다시 떠오르기』는 새롭게 떠오르는 영성가이며 21세기의 영적 교사로 일컬어지는 에크하르트 톨레의 더 나은 삶, 더 나은 세계를 위한 지침서이다. 톨레의 저서들은 생각과 감정을 자신이라고 여기는 인간의 근본적인 착각을 다룬 명저로 꼽힌다. ‘에고에 바탕을 둔 삶’과 그러한 삶들이 모인 세상에서 살고 있지만 그 에고가 모든 인간관계에 문제를 일으키고 실체를 보는 것을 가로막는 장애물임을 알려주며, 그리고 그것이 인간 존재의 전부가 아니라고 강조한다. 이 책은 일화와 철학적 내용을 통해 모든 고통과 불행의 원인인 ‘자기 자신’이라는 감옥에서 나와 ‘나는 누구인지’를 깨닫고 진정한 삶으로 다시 떠오르는 길을 제시한다. 류시화가 1차 재번역, 일본어 번역본과의 대조 번역, 2차 재번역 등의 과정을 거치며 심혈을 기울인 책으로, 이 책을 주제로 오프라 윈프리와 함께 10주에 걸쳐 스카이프를 통한 인터넷 온라인 독자 참여를 가진 바 있다. ‘허구의 나’를 자신이라고 믿는 마음이 개인과 사회를 불행에 이르게 한다는 톨레의 통찰을 만나볼 수 있다.▶ 이 책은 2008년에 출간된 ≪NOW: 행성의 미래를 상상하는 사람들에게≫(조화로운삶)의 개정판입니다.
저자는 특히 자신의 의식상태를 지켜봄으로써, 자신의 행복에 스스로 책임을 지라고 말한다. 평화는 소용돌이치는 현실 속에서도 고요한 상태에 머물러 있는 것임을 의미하며, 각자의 의식 상태가 우리의 삶과 행성의 미래를 결정한다고 강조한다. 수천 년 동안 고통 받아온 인류로부터 자유로워지기 위해 무엇을 할 것인지 깨닫는 계기를 마련해주는 책이다."
여름의 빛,장자크 상페,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.78893E+12,"세계적 삽화가 장자크 상페가 선사하는시원하고 찬란하게 빛나는 여름의 풍경
프랑스를 대표하는 세계적 삽화가이자, 〈순간을, 몸짓을, 태도를, 상황을 포착하는 하나의 선으로 전 세계에 널리 알려진 만화가〉인 장자크 상페가 여름을 주제로 그린 그림을 엮었다.이 책은 상페만의 시원하고 찬란한 여름의 풍경이 한껏 돋보이는 작품집으로, 한여름 휴가지의 정경을 거니며 자신만의 휴식을 취하는 생기 넘치고 사랑스러운 인물들의 일상이 그려져 있다. 여유롭고 경쾌한 여름의 정서를 듬뿍 담은 드로잉과 채색이 빛나는 이 책은 가장 완벽한 여름휴가의 시간으로 우리를 이끌어 준다."
"와다다곰, 귀여움이 오늘을 구해줄 거야",띵똥,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
그림에세이",9.79119E+12,"와다다곰의 다정한 위로, “네가 웃으면 나도 좋아” 일상 속에서 찾아낸 ‘따수운’ 귀여움들이 나를 지켜!
매일매일 항상 행복할 수는 없지만, 우리는 일상에서 기쁨을 찾아낸다. 길에서 우연히 만난 고양이 등 무늬가 하트 모양이라거나, 오랜만에 사 먹은 핫도그가 맛있다거나, 직장 동료가 추천해 준 곰돌이 슬리퍼가 귀엽다거나 등 이러한 순간들이 우리를 웃음 나게 한다. 또는 온종일 기분이 안 좋다가도, 이런 마음을 알려주는 가족의 위로가, 친구들의 응원이 내일을 기대하게 만들기도 한다.와다다곰은 귀엽고 소중한 순간들이 우리를 구해줄 것이라고 말한다. 우리는 소소한 행복에서 살아갈 힘을 때론 얻기 때문이다. 그리고 “네가 웃으면 나도 좋아”, “별거 안 해도 괜찮아. 우린 열심히 귀여웠어”, “오늘도 내일도 우린 잘 해낼 거야”라는 메시지를 통해 위축된 우리의 마음을 보듬어준다. 《와다다곰, 귀여움이 오늘을 구해줄 거야》에서는 와다다곰의 가족 이야기도 볼 수 있다. 장난기 넘치는 아빠, 무심해 보이지만 누구보다 정이 많은 엄마, 개그 욕심 많은 할머니, 친자식처럼 와다다곰을 아껴주는 이모와 와다다곰이 그려온 일상을 만나본다. 와다다곰의 ‘따수운’ 하루들이 위로가 되어줄 것이다."
잘했고 잘하고 있고 잘 될 것이다(50만 부 기념),정영욱,"국내도서
 > 
시/에세이
 > 
나라별 에세이
 > 
한국에세이",9.79116E+12,"1년간 20만 부 이상 판매 기록독보적 에세이스트 정영욱의 세대를 초월하는 위로와 응원
2021년 5월 출간 후, 1년간 20만 부 이상의 판매 기록을 세우며 에세이 베스트셀러에 굳건히 자리 잡은 『잘했고 잘하고 있고 잘될 것이다』가 50만 부 기념 전면 개정판으로 독자들 앞에 다시 나타났다. 전체적으로 문장을 다듬어 완성도를 높이는 데에 마음을 기울였다. 독자들에게 더욱 정갈한 위로를 건네고자 하는 작가의 마음이라. 외에도 미공개 원고 9편이 추가되었다. 『참 애썼다 그것으로 되었다』, 『나를 사랑하는 연습』, 『잔잔하게 그러나 단단하게』 등 이전 도서를 통해 40만 독자에게 사랑받은 작가 정영욱은 이 책을 통해 한결같이 당신의 과거와 현재, 그리고 미래를 응원한다.“당신 참으로 힘들었겠다. 참 바빴을 테고, 그만큼 허겁지겁 달렸을 테고, 그래서 넘어졌을 테고, 까진 상처에 아팠을 테고, 그리고 다시 일어난대도 아주 지쳐 있을 테지. 아픈 마음 다독일 새 없이 나아가다 쓰린 곳 다시 다쳤을 테지.”정영욱 작가는 말한다. 당신의 힘듦을, 당신의 아픈 상처와 지친 마음을 알고 있다고. 관성처럼 또다시 찾아오는 내일을 맞이하고 싶지 않은 당신이, 이 책을 읽었으면 좋겠다. 지난하고 외로운 오늘을 보낸 당신을, 어느 한 사람이 응원할 것이다. 우리가 우리를 응원할 것이다. 아무것도 묻지 않고, 조건 없이, 이유 없이.당장의 하루가 못 견디게 외롭고 힘들더라도, 당신의 마음을 알아주는 사람이 없는 거 같아서 막막하더라도, 당신이 살아온 매일의 하루가 겹치고 쌓여 맑게 갠 푸른 하늘처럼 선명할 것이라는 걸 잊지 말기를. 설움 없이 자라는 것은 아무것도 없다. 오늘의 당신은 언젠가의 당신을 이룰 밑거름이니, 두려워하지 말고 그저 나아가면 된다. 변함없이 잘 살아내느라 당신 정말 고생 많았다. 그러니 오늘 밤은 이 책을 덮고 잠들어 보자. 지친 당신을 혼자 두고 싶지 않은 마음으로 적어 내려간 문장. “여기 있는 이야기는 나의 이야기이자 당신의 이야기일 것이다.우리 모두는 전혀 다름없는 힘겨움을 붙잡고 살아가는 것이니.하지만 힘들어도 기어코 무너지지 않을 삶들이니.당신, 잘했고, 잘하고 있고, 잘될 것이다.”
☞ 선정내역‘21세기를 위한 10권의 도서’ 선정‘2020 올해의 문장 1위’ 선정"
나만 아는 풀꽃 향기,나태주,"국내도서
 > 
시/에세이
 > 
테마에세이
 > 
일기/편지",9.79117E+12,"너를 안으면 풀꽃 냄새가 난다나태주 시인과 나민애 문학평론가아버지와 딸이 주고받은 소박하지만 찬란한 순간들
살아가다가 정말로 힘든 날이 있거든, 숨이 막힐 것 같은 날이 있거든 잠시 하늘을 올려다보아 다오. 어두운 밤하늘 빛나는 별빛 속에 너를 위해 손을 모으는 아빠의 마음과 기도가 있을 거라고 생각해 다오. (본문 중에서)아버지, 가난이 반갑지는 않았지만 원망스럽지도 않았어요. 그건 ‘우리’의 것이었으니까요. 아버지가 나 대신 가난을 다 막아 줬으니까요. (본문 중에서)소박하고 수수한 언어로 많은 이들의 마음을 사로잡은 풀꽃 시인, 나태주. 우리에게 익숙한 ‘시인 나태주’가 아닌 ‘아버지 나태주’로서 딸에게 전하는 담백하면서도 정갈한 문장과 딸 나민애 문학평론가의 애정 어린 답신을 한 권의 에세이로 묶었다.『나만 아는 풀꽃 향기』는 아버지 나태주 시인과 딸 나민애 문학평론가가 함께 써 내려간 서신 에세이다. 아버지가 딸에게, 딸이 아버지에게 보내는 편지를 서로 엮어 묶은 이 책은 오늘도 열심히 하루하루 살아가는 이들에게 건네는 따뜻한 한 권의 위로가 될 것이다."
